round_epochs,val_loss,val_acc,val_f1_m,val_precision_m,val_recall_m,loss,acc,f1_m,precision_m,recall_m,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
150,0.6315781825310698,0.629382312297821,0.44333311915397644,0.44333332777023315,0.4816666543483734,0.500420153932346,0.73514676,0.5278967,0.54291844,0.5457797,<function elu at 0x135f1b200>,2,0.2,None,150,8,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.4,<class 'keras.optimizers.Nadam'>,brick,None
150,0.10787799101142533,0.6477462649345398,0.5730444192886353,0.5918651223182678,0.6079761981964111,0.07756180342342825,0.7516106,0.70808023,0.784592,0.68133783,<function relu at 0x135f1b440>,10,0.2,None,150,16,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,3.1999999999999997,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.09842092108497635,0.6494156718254089,0.6513121724128723,0.5839300751686096,0.7539733648300171,0.08888265816928151,0.70293486,0.68724614,0.71895164,0.6997946,<function relu at 0x135f1b440>,24,0.0,None,150,4,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.1,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.10065087531763245,0.6894824504852295,0.3555554449558258,0.3866666555404663,0.34999996423721313,0.08119790009626253,0.73872584,0.5040531,0.5193133,0.5193133,<function elu at 0x135f1b200>,2,0.4,None,150,32,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.1,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.5777921429858582,0.6677796244621277,0.6534816026687622,0.6119697093963623,0.713918149471283,0.543899288029012,0.68360776,0.66746235,0.6709155,0.6813535,<function relu at 0x135f1b440>,24,0.0,None,150,32,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.7072265848691555,0.6277128458023071,0.643540620803833,0.5629667639732361,0.7698996067047119,0.48242529691246977,0.7487473,0.74825734,0.73084193,0.7871583,<function relu at 0x135f1b440>,18,0.1,None,150,32,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,3.6499999999999995,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.7633332111103108,0.6210350394248962,0.609813928604126,0.5571566820144653,0.7139310836791992,0.4868381733052118,0.7487473,0.7659309,0.70103574,0.8760178,<function relu at 0x135f1b440>,13,0.2,None,150,32,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.1,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.09344689583464935,0.7011685967445374,0.5879279971122742,0.6953647136688232,0.5359675884246826,0.09012505940495641,0.68432355,0.6592132,0.67783594,0.6823292,<function relu at 0x135f1b440>,13,0.0,None,150,16,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.3,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.10457572957908172,0.6644407510757446,0.5771459341049194,0.6331391334533691,0.5642604231834412,0.07969788974051016,0.73299927,0.66410965,0.797079,0.6028991,<function relu at 0x135f1b440>,13,0.2,None,150,64,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.4,<class 'keras.optimizers.Nadam'>,brick,None
150,0.6368442534504828,0.6527546048164368,0.5439049005508423,0.5516666769981384,0.6211110353469849,0.47314641570823057,0.7623479,0.6742184,0.70904785,0.7061906,<function elu at 0x135f1b200>,4,0.1,None,150,32,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,3.6499999999999995,<class 'keras.optimizers.Adam'>,brick,None
150,0.5963967479081305,0.6510851383209229,0.4811110496520996,0.47999998927116394,0.5266666412353516,0.5462898857032903,0.6907659,0.4873626,0.5007153,0.5078684,<function elu at 0x135f1b200>,2,0.2,None,150,32,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.6301043990856419,0.629382312297821,0.632124662399292,0.5702527165412903,0.7268758416175842,0.5142596810736141,0.73514676,0.7304989,0.7047818,0.7753922,<function relu at 0x135f1b440>,21,0.2,None,150,8,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,2.75,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.10305557985835163,0.6377295255661011,0.6175704598426819,0.5833589434623718,0.6703438758850098,0.08092189771666558,0.73514676,0.72090083,0.7373644,0.7299424,<function elu at 0x135f1b200>,24,0.1,None,150,8,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,3.1999999999999997,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.5799053346175383,0.6878130435943604,0.6501006484031677,0.6412698030471802,0.6999205350875854,0.5581716926249761,0.68718684,0.6580348,0.6863805,0.67722774,<function elu at 0x135f1b200>,10,0.1,None,150,16,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.8499999999999999,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.09521640131626284,0.6677796244621277,0.6343620419502258,0.6160852909088135,0.7170543074607849,0.09223698566780401,0.69148177,0.63308144,0.694607,0.63858324,<function elu at 0x135f1b200>,7,0.4,None,150,8,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.4,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.5857546281486202,0.6961602568626404,0.5815565586090088,0.6885659694671631,0.5525193810462952,0.5482126718644338,0.678597,0.62618077,0.6717739,0.6451072,<function elu at 0x135f1b200>,7,0.2,None,150,8,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.1,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.10162479590270078,0.6611018180847168,0.5268571972846985,0.5505555272102356,0.5799999237060547,0.08134582935270447,0.73872584,0.64771485,0.7040476,0.66976184,<function elu at 0x135f1b200>,4,0.1,None,150,4,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.75,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.09900221574386094,0.6377295255661011,0.6140614151954651,0.5726388692855835,0.7090475559234619,0.08620325987125262,0.7158196,0.6807345,0.7336706,0.69365656,<function elu at 0x135f1b200>,10,0.0,None,150,16,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.8499999999999999,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.5857124831123225,0.6527546048164368,0.6636468768119812,0.5858114957809448,0.774832010269165,0.5604505188224481,0.6793128,0.6608471,0.67781764,0.66586506,<function elu at 0x135f1b200>,24,0.0,None,150,32,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.09503771527009536,0.6928213834762573,0.5772063732147217,0.60833340883255,0.6166666746139526,0.08859403336483321,0.7108089,0.6420686,0.6795238,0.67619056,<function elu at 0x135f1b200>,4,0.2,None,150,64,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,3.6499999999999995,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.6131264461400314,0.6577629446983337,0.6375671029090881,0.6187278628349304,0.680376410484314,0.5129548904933329,0.7158196,0.70884967,0.720764,0.73952794,<function relu at 0x135f1b440>,21,0.0,None,150,32,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.55,<class 'keras.optimizers.Nadam'>,brick,None
150,0.735547094492363,0.6193656325340271,0.6101453900337219,0.557353138923645,0.6866048574447632,0.4689701332010025,0.75662136,0.7603761,0.7425004,0.80223995,<function relu at 0x135f1b440>,24,0.1,None,150,64,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.55,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.6779173064560245,0.6661101579666138,0.6304935812950134,0.623892605304718,0.711046576499939,0.5194786950817856,0.7322835,0.66560525,0.7384524,0.66722625,<function relu at 0x135f1b440>,7,0.1,None,150,8,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,3.1999999999999997,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.09441260471069356,0.6894824504852295,0.640184223651886,0.6254305839538574,0.6840425133705139,0.08799601437186631,0.6993558,0.6893921,0.68579316,0.7366219,<function relu at 0x135f1b440>,13,0.2,None,150,16,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,0.5,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.10346558127857011,0.5976627469062805,0.5355556011199951,0.49166667461395264,0.6366666555404663,0.09210237922545579,0.6607015,0.3562235,0.3769671,0.3612303,<function relu at 0x135f1b440>,2,0.4,None,150,32,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.55,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.11210792739323662,0.6143572330474854,0.4544443190097809,0.4566666781902313,0.4950000047683716,0.07224768895119876,0.7773801,0.5984736,0.5901288,0.63733906,<function relu at 0x135f1b440>,2,0.2,None,150,4,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.3,<class 'keras.optimizers.Nadam'>,brick,None
150,0.5773458638553428,0.6711185574531555,0.617361307144165,0.6097602844238281,0.6522542238235474,0.5589520245171822,0.68432355,0.6493199,0.6730895,0.6579535,<function elu at 0x135f1b200>,13,0.1,None,150,8,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.10054213391968324,0.6460767984390259,0.6322425007820129,0.6050251722335815,0.6809872984886169,0.08266599081141998,0.72226197,0.7027186,0.71325,0.7286987,<function elu at 0x135f1b200>,18,0.1,None,150,64,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.3,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.5795858131724725,0.7028380632400513,0.6678064465522766,0.6701945662498474,0.6788865327835083,0.5463594640675151,0.6879026,0.66989857,0.7000344,0.68596095,<function elu at 0x135f1b200>,18,0.1,None,150,32,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.95,<class 'keras.optimizers.Nadam'>,brick,None
150,0.5879901518208753,0.6878130435943604,0.6230641603469849,0.6709261536598206,0.5943055152893066,0.5346052769302213,0.70293486,0.6967514,0.7001819,0.7220865,<function elu at 0x135f1b200>,24,0.1,None,150,64,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.1,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.6356503691816568,0.6327211856842041,0.629081666469574,0.585385799407959,0.7039098739624023,0.49095546710721577,0.73586255,0.7273795,0.7390125,0.74154705,<function elu at 0x135f1b200>,18,0.0,None,150,64,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.8499999999999999,<class 'keras.optimizers.Nadam'>,brick,None
150,0.6056107316159943,0.629382312297821,0.4811110496520996,0.4699999988079071,0.5383333563804626,0.53577724120759,0.686471,0.4787792,0.49570817,0.49356222,<function elu at 0x135f1b200>,2,0.1,None,150,32,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.Nadam'>,brick,None
150,0.5956804905590509,0.6727879643440247,0.6547920107841492,0.631398618221283,0.71834796667099,0.5222324801924917,0.7108089,0.69248194,0.6689047,0.74004006,<function relu at 0x135f1b440>,16,0.30000000000000004,None,150,16,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.95,<class 'keras.optimizers.Nadam'>,brick,None
150,0.6050188811076105,0.6560934782028198,0.6448826789855957,0.6049860119819641,0.7171057462692261,0.5272854165298733,0.7265569,0.70268124,0.74580574,0.6888516,<function relu at 0x135f1b440>,21,0.1,None,150,4,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.8499999999999999,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.5898075170926936,0.6711185574531555,0.639665961265564,0.5982745289802551,0.7192502021789551,0.5536082036041241,0.68503934,0.6508174,0.6999964,0.6511281,<function elu at 0x135f1b200>,13,0.2,None,150,64,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.8499999999999999,<class 'keras.optimizers.Adam'>,brick,None
150,0.6215350345797053,0.6861435770988464,0.5357143878936768,0.5855554938316345,0.559999942779541,0.49666635686786326,0.72512525,0.65088505,0.67119044,0.7057145,<function relu at 0x135f1b440>,4,0.2,None,150,16,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.95,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.10435980538494002,0.6744574308395386,0.6278346180915833,0.6143447756767273,0.6686676144599915,0.07699059140078494,0.7587688,0.7136111,0.79177326,0.6836307,<function relu at 0x135f1b440>,13,0.2,None,150,8,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.1,<class 'keras.optimizers.RMSprop'>,long_funnel,None
150,0.617564340366147,0.6911519169807434,0.6086143255233765,0.7011154890060425,0.555127739906311,0.5089161574797879,0.7158196,0.66020507,0.7638524,0.5980289,<function relu at 0x135f1b440>,24,0.30000000000000004,None,150,4,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,3.1999999999999997,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.101420359838387,0.6594324111938477,0.6264615654945374,0.5900793671607971,0.7131348252296448,0.08003946172664143,0.73944163,0.737368,0.72817177,0.797225,<function relu at 0x135f1b440>,10,0.2,None,150,16,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.3,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.11306208342885932,0.6126878261566162,0.6026347875595093,0.5438889265060425,0.7649999260902405,0.07298375037882102,0.76592696,0.72699404,0.68880963,0.8319049,<function relu at 0x135f1b440>,4,0.1,None,150,8,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.55,<class 'keras.optimizers.Nadam'>,brick,None
150,0.7603105804657498,0.6327211856842041,0.621613621711731,0.5567552447319031,0.7382218241691589,0.4417995122516676,0.7809592,0.7564746,0.79750097,0.757245,<function relu at 0x135f1b440>,13,0.1,None,150,16,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.55,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.11656440207999019,0.6110183596611023,0.5553972721099854,0.5460317730903625,0.5954660177230835,0.06653817152803125,0.8074445,0.78626436,0.80897033,0.7922885,<function elu at 0x135f1b200>,13,0.0,None,150,32,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.75,<class 'keras.optimizers.Nadam'>,brick,None
150,0.0973570176675443,0.6427379250526428,0.578380823135376,0.5566666126251221,0.6905555129051208,0.08897734200348578,0.69148177,0.60564685,0.6302382,0.652381,<function elu at 0x135f1b200>,4,0.4,None,150,8,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,3.6499999999999995,<class 'keras.optimizers.Adam'>,brick,None
150,0.5912027667729006,0.6494156718254089,0.47666651010513306,0.4749999940395355,0.5199999809265137,0.564413368744601,0.68360776,0.49451578,0.5078684,0.51216024,<function elu at 0x135f1b200>,2,0.0,None,150,32,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.RMSprop'>,brick,None
